Pos,Age,MP,Min,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasMedCmp,PasMedAtt,PasLonCmp,PasLonAtt,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasOff,PasOut,ScaDrib,ScaFld,ScaDef,GcaDrib,GcaDef,Tkl,TouAttPen,DriSucc%,PKwon,PKcon,OG
DF,27,1,69,0,0,0,0,0,0,0,0,0,0,12.5,18.8,331.3,166.3,1.25,7.5,7.5,7.5,3.75,3.75,0,0,2.5,0,0,3.75,18.8,0,2.5,0,0,0,0,0,0,0,0,0,0,0
MF,24,11,517,0,0.88,0.35,40,0,0,27.3,0,0,0,38.2,46.5,844.4,151.2,13.5,15.4,16.3,18.8,8.07,10.9,0,0.7,4.39,0.88,0.53,4.04,46.5,0.18,1.23,0,0,0.18,0,0.18,3.33,0.35,83.3,0,0,0
MFDF,25,12,707,0,0.89,0,0,0,0,16.5,0,0,0,45.3,53.7,790.3,209.6,22.3,24.2,18.1,20.9,4.56,6.84,0,0.89,3.54,0.51,0.25,3.92,53.7,0.25,1.39,0,0.13,0.13,0,0,3.54,1.77,20,0,0.38,0
DF,29,3,191,0,0.48,0,0,0,0,5,0,0,0,56.2,61.9,1358.6,370.5,14.8,15.2,25.7,28.6,14.3,16.2,0,0.48,5.24,0,0,2.86,61.9,0,0.95,0,0,0,0,0,0.48,0.48,0,0,0,0
FWMF,31,9,372,0.24,2.93,0.98,33.3,0.08,0.25,16,0,0,0,52.4,61,1029,210,22.4,24.9,21,22.7,8.78,12.2,0,1.95,3.17,2.44,0.49,5.85,61,0,0.98,0.24,0,0,0,0,0.98,5.12,55.6,0,0,0
MF,23,7,382,0,1.9,0.48,25,0,0,25.1,0.48,0,0,24.8,35.2,487.9,124.8,9.76,13.1,11.2,14.3,3.57,6.43,0,1.19,0.48,0.24,0.24,2.14,35.2,0,0.71,0,0.24,0,0,0,0.95,1.9,50,0,0,0
GK,27,7,630,0,0,0,0,0,0,0,0,0,0,27,34.7,786.6,419.4,4.14,4.14,11.7,11.7,11,18.7,0,0,1.14,0.14,0,0,34.7,0.29,0.43,0,0,0,0,0,0,0,0,0,0,0
FWMF,23,10,503,0.18,1.79,1.07,60,0.1,0.17,15.7,0,0,0,17,24.6,308.9,83.4,7.5,9.11,6.96,9.64,2.32,3.57,0.36,1.79,1.61,1.61,0.89,1.96,24.6,0,0.71,0.18,0,0,0,0,1.07,5.18,33.3,0,0,0
MF,25,4,245,0,0,0,0,0,0,0,0,0,0,30.4,34.8,584.8,140,12.2,14.8,13.7,14.4,4.07,4.81,0,0,3.33,0.37,0,2.22,34.8,0,0,0,0,0,0,0,2.22,0.37,66.7,0,0,0
MFFW,24,10,371,0.24,1.95,0,0,0,0,22.3,0.49,0.24,0.24,42.4,51.7,752.7,179,20.5,23.2,14.6,15.9,5.85,9.02,0.24,1.95,3.41,1.95,0.24,3.66,51.7,0.49,0.73,0,0.73,0,0,0,2.2,5.37,72.7,0,0,0
MF,24,11,623,0,0.87,0,0,0,0,20.3,0,0,0,28.8,33.6,420.6,102.9,16.8,19.1,9.86,10.7,1.3,2.03,0.14,0.72,1.74,0.72,0.14,2.75,33.6,0,0.14,0.29,0.14,0,0,0,1.59,1.3,80,0,0,0
FWMF,20,5,105,0,3.33,0,0,0,0,16.4,0,0,0,8.33,19.2,80,31.7,7.5,15,0,1.67,0,0.83,0,0,0.83,0.83,0,1.67,19.2,0,0,0.83,0,1.67,0,0,1.67,5,50,0,0,0
MF,27,8,452,0,0.4,0.2,50,0,0,17.9,0,0,0,20,24.4,352.8,53.2,9.6,11.6,8,8.8,2,3,0,0.2,0.8,0,0,1.6,24.4,0,0.8,0,0.2,0,0,0,2,1.2,0,0,0,0
DF,23,7,451,0,0.2,0,0,0,0,24.4,0,0,0,35.8,42.8,529,153.2,19.6,21.4,11.6,12.8,2.6,5,0,0,2,0,0,1.6,42.8,0.2,0.6,0,0,0,0,0,2.2,0.6,66.7,0,0,0
MFFW,21,3,76,0,3.75,2.5,66.7,0,0,15.2,0,0,0,27.5,38.8,496.3,116.3,11.3,13.8,11.3,15,3.75,7.5,0,0,0,2.5,1.25,2.5,38.8,0,0,0,1.25,0,0,0,3.75,5,20,0,0,0
MF,24,6,296,0,1.82,0,0,0,0,12.9,0,0,0,30.3,36.1,532.4,139.1,13.6,15.5,13,14.5,2.73,4.55,0,1.82,2.12,1.21,0.91,0.91,36.1,0.3,0.61,0,0,0,0,0,1.21,3.94,0,0,0,0
FW,23,6,405,0,2.67,1.11,41.7,0,0,16.7,0.22,0,0,21.6,31.6,357.3,104,10.2,12.2,7.33,10,2.44,6,0,2.22,1.56,0.89,0.22,1.56,31.6,0,1.33,0.22,0,0,0,0,0.44,3.78,33.3,0,0,0
MFFW,29,10,372,0.24,2.44,0.49,20,0.1,0.5,24.8,0,0,0,39,51.5,886.1,303.4,14.6,17.8,15.1,17.8,9.27,15.1,0.24,2.2,6.59,3.9,0.24,8.05,51.5,0.73,1.71,0,0.24,0,0,0,1.95,1.22,53.3,0,0,0
DF,31,10,844,0,0.85,0.21,25,0,0,13,0,0,0,45.4,58.9,812.8,364.3,20.6,23.5,19.8,25.4,4.47,7.87,0,0.32,2.66,1.06,0.64,4.36,58.9,0.11,0.74,0,0,0,0,0,2.55,2.02,62.5,0,0.11,0
MF,27,4,39,0,0,0,0,0,0,0,0,0,0,15,22.5,145,47.5,15,20,0,0,0,0,0,0,0,0,0,0,22.5,0,0,0,0,0,0,0,2.5,0,100,0,0,0
GK,22,11,990,0,0,0,0,0,0,0,0,0,0,23.5,30.5,593.3,327.3,5.18,5.27,12.3,12.6,6,12.5,0,0,0.27,0,0,0.09,30.5,0,0.82,0,0,0,0,0,0,0,0,0,0.09,0
MF,22,2,15,0,0,0,0,0,0,0,0,0,0,35,50,540,35,10,15,15,25,5,5,0,0,5,0,0,0,50,0,0,0,0,0,0,0,0,0,100,0,0,0
DF,26,11,903,0,0.4,0,0,0,0,8.4,0,0,0,38.9,46.7,827.8,252.9,12.7,13.6,19.4,20.8,6.7,11.7,0,0.6,2.4,0.7,0.2,2,46.7,0.2,0.8,0,0.1,0,0,0,1.5,0.6,75,0,0,0
GK,37,10,855,0,0,0,0,0,0,0,0,0,0,22.1,29.7,690.2,444.7,3.37,3.37,10.3,10.4,8.42,15.9,0.11,0.11,0.32,0,0,0,29.7,0,0.42,0,0,0,0,0,0,0,100,0,0.11,0
DF,28,11,990,0,0.27,0,0,0,0,27.9,0,0,0,40.2,46.8,653,279.5,20.8,22,16.3,18.5,2.55,4.91,0,0.18,1.82,0.18,0.09,2,46.8,0.09,0.73,0,0,0,0,0,2.55,0.45,28.6,0,0,0
DF,31,6,171,0,0,0,0,0,0,0,0,0,0,45.8,53.2,931.6,334.2,13.2,15.3,26.8,29.5,5.79,7.89,0,0.53,2.63,0,0,4.21,53.2,0.53,0.53,0,0,0,0,0,2.11,0,0,0,0,0
MF,25,9,556,0.16,1.94,0.48,25,0.08,0.33,24.3,0,0,0,42.7,50.6,889.2,218.9,14.8,16.1,19.5,21.9,7.58,11,0.16,0.97,5.97,1.45,0.48,5.32,50.6,0,0.65,0.16,0,0.32,0,0,1.77,1.45,80,0,0,0
FW,30,11,749,0.6,3.61,1.69,46.7,0.13,0.29,13,0,0.12,0.12,19.9,26.6,316.6,88.8,11.1,13.4,6.63,8.67,1.57,2.29,0,0.72,1.33,1.93,0.24,3.49,26.6,0.12,0.12,0.36,0.36,0,0.12,0,0.48,9.28,57.1,0,0,0
MF,24,7,267,0,1.33,0.33,25,0,0,21.5,0,0,0,28.7,36.3,468.7,86,14.7,17,11.7,13.7,1.67,4,0,0.33,1,0.33,0,1.67,36.3,0.67,1.33,0,0,0,0,0,2,0.33,33.3,0,0,0
MF,35,10,488,0.19,1.11,0,0,0,0,28.2,0.37,0.19,0.37,48,66.5,1028.1,335.9,18,20.7,18.7,24.4,10.7,20,0.19,2.78,6.48,0.74,0.19,5.37,66.5,0.19,1.67,0,0.19,0,0,0,1.48,0.74,100,0,0,0
FW,23,1,55,0,0,0,0,0,0,0,0,0,0,5,8.33,80,11.7,1.67,5,3.33,3.33,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,1.67,0,25,0,0,0
FWMF,24,10,476,0.19,1.89,0.94,50,0.1,0.2,21.8,0.19,0,0,12.5,20.9,230.4,77,6.98,9.25,2.64,4.72,2.45,4.53,0.75,1.7,0.75,1.7,0.38,2.26,20.9,0.57,0.75,0.19,0,0.19,0,0,2.64,2.26,40,0,0,0
FWMF,20,8,209,0,4.35,0.43,10,0,0,15.6,0,0,0,9.13,12.6,133.9,34.3,5.22,6.96,1.74,2.17,1.3,1.74,0.43,1.74,0,0.87,0,0.87,12.6,0,0,0.87,0,0,0.43,0,0.87,5.65,50,0,0,0
FW,26,8,224,0.4,4.4,0.4,9.1,0.09,1,9.5,0,0,0,8.4,12.8,130.8,34.8,4.4,6,2.8,4.4,0.8,0.8,0,0.8,0.8,0.4,0,1.6,12.8,0,0.4,1.2,0,0,0,0,0.4,6.8,75,0,0,0
DF,26,3,270,0,0,0,0,0,0,0,0,0,0,45,49.7,838.7,289.3,16.7,18,24.3,25.3,4,6.33,0,0,2.33,0,0,2.33,49.7,0.33,1,0,0,0,0,0,1.33,0,100,0,0,0
DFMF,28,11,944,0,2.19,0.95,43.5,0,0,15.3,0,0,0,30,40.4,566.3,152.1,13.1,15,12.2,15.8,4.29,7.52,0.19,1.33,1.52,1.62,0.48,4,40.4,0,0.67,0.29,0.29,0,0,0,1.52,4.19,75,0,0,0
GK,34,10,900,0,0,0,0,0,0,0,0,0,0,22.1,32.3,681.6,412.5,3.3,3.3,10.4,10.4,8.3,18.5,0,0,0.4,0,0,0,32.3,0,0.5,0,0,0,0,0,0,0,0,0,0,0
MF,25,12,931,0,1.55,0.29,18.8,0,0,24.8,0.1,0,0,34.3,42.7,605.3,165.4,16.5,18.3,12.4,14.4,4.08,7.67,0.1,0.58,3.79,0.49,0,4.27,42.7,0.1,0.78,0.19,0.1,0,0.1,0,1.84,1.17,72,0,0,0
DF,24,2,17,0,0,0,0,0,0,0,0,0,0,20,35,500,105,5,5,10,15,5,15,0,0,5,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
DF,30,10,898,0,0.4,0,0,0,0,12.1,0,0,0,45,51.1,1037.3,296.7,10.8,11.9,23,24.8,10.2,13.3,0,0.1,2,0.1,0,2.6,51.1,0.1,0.6,0,0.1,0,0,0,0.9,0.5,0,0,0.2,0
MF,27,1,9,0,0,0,0,0,0,0,0,0,0,20,30,900,360,0,0,10,10,10,20,0,0,10,0,0,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0
DF,33,11,924,0,0,0,0,0,0,0,0,0,0,51.7,63.2,933.1,401.6,23.6,26.4,22.1,25.4,5.53,9.71,0.19,1.65,5.92,1.94,0.49,7.38,63.2,0.29,0.87,0,0.1,0,0,0,1.55,0.68,50,0,0,0
MF,34,8,247,0,0.74,0,0,0,0,25,0,0,0,31.5,38.9,730.4,227.4,10,12.2,13,14.8,7.04,9.63,0,1.48,5.93,0.37,0,4.07,38.9,0,1.48,0,0,0,0,0,2.59,0.37,42.9,0,0,0
DF,29,8,709,0.13,0.51,0.13,25,0.25,1,15.9,0,0,0,37.8,44.7,833.2,252,10,11.8,20.4,21.6,7.22,10.1,0,0.13,1.9,0,0,1.65,44.7,0.13,0.63,0,0,0,0,0,1.01,0.76,0,0,0,0
DF,27,8,645,0,0.97,0.42,42.9,0,0,15.6,0,0,0,30.4,35,665,200.6,9.58,10.8,15.4,16.7,5.28,7.08,0,0,1.53,0,0,1.53,35,0,0.28,0,0,0,0,0,1.67,0.69,0,0,0.14,0
FW,29,2,7,0,10,0,0,0,0,8,0,0,0,10,10,630,310,0,0,0,0,10,10,0,0,10,0,0,10,10,0,0,0,0,0,0,0,0,10,0,0,0,0
MF,19,1,17,0,15,0,0,0,0,20,0,0,0,65,95,890,60,40,45,25,50,0,0,0,5,5,0,0,0,95,5,0,5,0,0,0,0,0,15,100,0,0,0
MF,26,11,694,0,0.91,0.13,14.3,0,0,27,0.13,0,0,43,52.2,845.8,281.7,16.8,18.3,18.4,20.9,7.01,11.6,0,1.43,4.16,0.39,0.13,4.16,52.2,0,0.65,0,0,0,0,0,1.17,0.13,50,0,0,0
DF,28,7,495,0.36,0.55,0.36,66.7,0.67,1,7.7,0,0,0,32.5,37.8,717.8,235.3,8,9.27,19.6,21.6,4.91,6.55,0,0,2.18,0.18,0,2.18,37.8,0,1.09,0,0,0,0,0,2.36,0.91,0,0,0.36,0
DF,27,7,549,0,0.33,0,0,0,0,11.3,0,0,0,53.3,59.3,1042.6,391.8,17.9,19.7,28,30.8,6.89,7.7,0,0.16,4.43,0.33,0,2.3,59.3,0,1.8,0,0,0,0,0,1.64,0.33,100,0,0,0.16
FWMF,23,11,590,0.3,3.18,0.91,28.6,0.1,0.33,14.7,0.15,0,0,16.1,25.8,232,59.2,10,13.3,4.7,7.73,0.76,2.58,0,0.61,1.67,0.61,0.15,2.42,25.8,0,1.97,0.3,0,0,0,0,1.21,5.45,39.3,0,0,0
DF,28,12,982,0.09,1.01,0.28,27.3,0.09,0.33,6.6,0,0,0,61.1,64.4,1159.1,342.4,22.8,23.7,30.1,31.6,6.88,7.71,0,0.18,1.65,0.09,0,1.28,64.4,0.37,0.09,0,0,0,0,0,0.92,1.74,0,0,0,0
FW,19,1,1,0,0,0,0,0,0,0,0,0,0,2,3,28,6,1,1,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
DF,32,2,135,0,0.67,0,0,0,0,16,0,0,0,51.3,55.3,1117.3,386.7,12.7,13.3,30,31.3,8.67,10.7,0,0,0,0,0,2.67,55.3,0,0.67,0,0,0,0,0,0.67,0.67,0,0,0,0
MF,20,8,429,0,1.46,0.42,28.6,0,0,20.4,0,0,0,34.2,41.5,639.6,159.8,12.9,14.2,17.1,20.4,3.75,5.63,0,0.42,2.92,0.83,0.21,4.17,41.5,0,1.25,0,0,0,0,0,1.88,1.67,50,0,0,0
FW,31,7,405,0,0.67,0.22,33.3,0,0,14.2,0,0,0,16.7,22,251.8,39.1,9.56,10.4,4.44,6,1.56,3.11,0.22,1.33,0.67,0.22,0,0.67,22,0.44,0.67,0,0.22,0,0,0,0.44,3.33,100,0,0,0
FW,26,3,105,1.67,0.83,0.83,100,1,1,17,0,0.83,0.83,17.5,22.5,288.3,136.7,8.33,10.8,5.83,7.5,2.5,2.5,1.67,2.5,4.17,0,0,5,22.5,0,0,0.83,0.83,0,0.83,0,0,5,71.4,0.83,0,0
DF,25,11,920,0.29,1.08,0.39,36.4,0.27,0.75,25,0.49,0,0.1,41.8,52.7,760.6,321,19.5,21,16.2,18.9,5.49,11,0.1,1.18,4.61,1.76,0.88,5.98,52.7,0.1,0.2,0,0,0,0,0,1.47,0.88,40,0,0,0
MF,32,7,148,0,0,0,0,0,0,0,0,0,0,79.4,91.3,1410,321.9,40.6,46.3,28.8,31.9,9.38,12.5,0,0.63,7.5,0.63,0,6.25,91.3,0,1.25,0,0,0,0,0,3.75,0.63,0,0,0,0
FW,21,11,940,0.38,2.69,1.06,39.3,0.14,0.36,17.1,0.19,0,0,27.4,36.1,466.5,113.4,14,15.8,9.33,11.6,3.08,6.15,0.19,2.02,1.15,2.02,0.38,2.98,36.1,0.1,0.77,0.19,0.1,0.19,0,0,1.15,7.4,71.1,0,0,0
DF,19,8,541,0.33,1.17,0.33,28.6,0.29,1,10.7,0,0,0,40.5,51.7,659.3,224.5,19.7,22.3,17.7,21.3,2,5.33,0,1.67,1.67,1.5,0.83,3.33,51.7,0,1.17,0,0.17,0,0,0,2,3.17,45.5,0,0,0
GK,30,12,1080,0,0,0,0,0,0,0,0,0,0,23.3,33.1,701.5,437.8,4.83,4.83,10.6,10.6,7.83,17.6,0,0.08,1,0,0,0,33.1,0.25,1,0,0,0,0,0,0,0,0,0,0,0
DF,31,7,630,0,1,0.14,14.3,0,0,13.9,0.29,0,0,47,55,1096.9,382.1,13,15,21.9,24.3,11.6,14.7,0,0.29,3.86,0.43,0,3.86,55,0.14,1,0,0,0,0,0,1,1.29,0,0,0,0
FW,25,11,914,0.59,4.02,1.27,31.7,0.12,0.38,16,0,0.1,0.1,16.3,21.2,267.6,53,8.82,10.3,4.8,6.37,1.86,2.45,0.2,1.27,0.98,0.59,0,1.47,21.2,0.1,0.1,0.2,0.39,0.2,0.1,0,0.98,5.39,50,0.1,0,0
DF,24,11,934,0,0.29,0,0,0,0,16.6,0,0,0,46.6,53.9,978.8,274,13.5,14.3,24.1,26,7.69,11.8,0,0,2.98,0,0,2.02,53.9,0.1,0.87,0,0.1,0.1,0,0,2.4,0.19,75,0,0,0
DF,26,11,911,0.1,0.99,0.59,60,0.1,0.17,12.4,0,0,0,59.1,68.9,1445.6,475.8,13,14.1,30.3,32.8,15.6,21.3,0,0.2,5.45,0.2,0.1,4.16,68.9,0,1.09,0,0,0,0,0,2.87,1.19,50,0,0,0
FWMF,27,4,111,0,4.17,1.67,40,0,0,15.1,0,0,0,35.8,43.3,452.5,147.5,25.8,29.2,7.5,7.5,0.83,3.33,0,2.5,0.83,2.5,0,5.83,43.3,0,0.83,0.83,0,0,0,0,1.67,9.17,75,0,0,0
DF,30,11,971,0,0.56,0.37,66.7,0,0,25.8,0,0,0,46.9,54,799.7,331.6,22.8,24.2,19.9,22.6,3.7,6.02,0.09,0.37,1.76,0.19,0.09,1.48,54,0.09,0.28,0,0,0,0,0,0.93,0.46,40,0,0,0
MF,29,9,744,0,0,0,0,0,0,0,0,0,0,39.3,44.7,848,184.6,12.4,14.3,19.3,20.8,7.47,9.16,0,0.6,3.37,0.12,0,3.25,44.7,0,0.6,0.12,0,0,0,0,1.81,0,60,0,0,0
DF,28,4,304,0.29,0.29,0.29,100,1,1,12,0,0,0,31.8,41.5,781.5,370,7.65,8.53,14.4,18.8,9.12,13.5,0,0.29,1.76,0.59,0.59,2.35,41.5,0.29,1.18,0,0,0,0,0,1.18,0.88,100,0,0,0
GK,33,6,540,0,0,0,0,0,0,0,0,0,0,22.7,35.5,688.8,397,2.5,2.5,10.5,10.7,8.83,21.5,0,0,0.17,0,0,0,35.5,0,1.83,0,0,0,0,0,0,0,0,0,0,0
DF,23,11,715,0,0.13,0,0,0,0,13,0,0,0,35.2,42.7,791.5,198.7,6.46,7.97,22.8,24.4,5.7,9.49,0,0.63,1.77,0,0,2.03,42.7,0.13,0.63,0,0,0.13,0,0,1.9,0.25,0,0,0.13,0.13
MF,20,1,17,0,0,0,0,0,0,0,0,0,0,90,110,1535,315,35,35,40,50,10,15,0,0,10,0,0,5,110,0,0,0,0,5,0,0,5,0,0,0,0,0
FW,34,5,35,0,2.5,0,0,0,0,10.3,0,0,0,27.5,32.5,480,27.5,10,12.5,17.5,17.5,0,0,0,0,2.5,0,0,0,32.5,0,0,0,0,0,0,0,2.5,7.5,0,0,0,0
MF,20,6,265,0,0.34,0.34,100,0,0,26,0,0,0,29,34.1,555.2,106.2,10,12.4,14.8,16.2,3.45,4.48,0,0,3.1,0,0,1.38,34.1,0.34,0,0,0,0,0,0,0.69,0,33.3,0,0,0
FW,25,10,251,0.36,3.93,1.43,36.4,0.09,0.25,12.6,0,0,0,15,21.1,224.6,8.93,8.57,11.4,3.93,5.36,1.43,1.43,0,0.71,0.36,0,0,0.36,21.1,0,0,0,0,0,0,0,1.79,5.71,60,0,0,0
MF,34,11,631,0,0.57,0.14,25,0,0,19.5,0,0,0,52.9,61.1,973.4,272.3,24.1,25.7,20.3,22.9,6.86,10,0,0.57,5.57,0.43,0,4.57,61.1,0.29,1,0,0,0,0,0,2.14,1.29,66.7,0,0,0
DF,31,4,259,0,0,0,0,0,0,0,0,0,0,58.3,69.7,1264.8,367.2,16.9,19,30.7,34.5,10.7,15.2,0,0,4.48,0.69,0,3.79,69.7,0.34,1.38,0,0,0,0,0,2.41,0,75,0,0,0
DF,22,4,336,0,0,0,0,0,0,0,0,0,0,14.6,23.5,280.5,151.9,5.14,5.68,7.03,11.4,2.43,5.68,0,0,1.89,0.27,0.27,0.54,23.5,0,0.27,0,0,0,0,0,1.35,0.27,0,0,0,0
DF,20,2,21,0,0,0,0,0,0,0,0,0,0,60,70,1190,800,30,35,25,30,5,5,0,0,5,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0
MF,24,6,513,0,0.53,0.35,66.7,0,0,28,0,0,0,24.6,28.8,503.9,117.4,9.12,10,9.12,10.4,5.44,7.02,0,0.35,2.63,0.18,0.18,2.28,28.8,0.18,0.35,0,0,0,0,0,1.58,0,0,0,0,0
FW,26,7,445,0.2,2.04,0.61,30,0.1,0.33,11.8,0,0,0,16.3,20,226.3,20.6,8.78,10,4.9,5.51,1.02,1.63,0,0.61,0.2,0.61,0,0.61,20,0,0.61,0,0,0,0,0,0.61,3.06,25,0,0,0
FW,24,5,259,0,2.41,0.69,28.6,0,0,16.5,0,0,0,16.2,21,222.4,65.2,10,11.4,3.79,5.52,1.03,2.07,0,0,1.72,0,0,1.72,21,0.34,0.34,0.34,0,0,0,0,1.72,4.14,62.5,0,0,0
DF,24,11,967,0.09,2.06,0.75,36.4,0.05,0.13,13.4,0,0,0,41.7,53.5,984,338.6,10.1,12,20.8,24.4,10.3,15,0.09,0.56,2.71,0.56,0,4.21,53.5,0.37,1.12,0.19,0,0.09,0,0.09,2.52,1.87,52.9,0,0,0
FW,33,6,195,0.91,1.82,1.36,75,0.5,0.67,13.2,0,0,0,22.7,28.6,327.7,78.6,12.3,14.1,7.27,9.09,1.82,2.27,0.45,1.82,0.91,1.82,0,3.18,28.6,0,1.36,0,0,0,0,0,0.45,8.64,75,0,0,0
GK,23,1,5,0,0,0,0,0,0,0,0,0,0,30,40,1080,710,10,10,0,0,20,30,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
DF,26,3,262,0,0.69,0,0,0,0,6,0,0,0,33.8,37.2,724.8,118.6,11,11.7,15.9,17.9,6.9,7.24,0,0,0.34,0,0,0.34,37.2,0,0.34,0,0.34,0,0,0,0.69,0.69,0,0.34,0,0
FW,25,10,790,0.11,1.25,0.23,18.2,0.09,0.5,14.8,0,0,0.11,14.8,20.5,217.8,41.1,8.52,10.5,4.43,5.8,1.02,1.82,0,0.57,0.68,0.57,0.11,0.8,20.5,0,0.23,0.11,0.34,0,0,0,0,3.52,38.5,0.11,0,0
DF,24,8,286,0,0.63,0,0,0,0,22.3,0,0,0,55.6,64.7,877.8,324.4,30,34.4,20.9,22.5,3.44,5.94,0.31,1.25,3.75,0.94,0.31,4.06,64.7,0,0.31,0,0,0,0,0,3.13,2.5,66.7,0,0,0
DF,27,11,887,0.2,1.01,0.3,30,0.2,0.67,18.9,0,0,0,28.2,37.3,504.1,176.3,11.8,13.4,12.7,16.2,2.63,5.45,0.1,2.02,1.21,1.62,0.91,2.22,37.3,0.1,1.21,0.4,0.1,0,0.1,0,1.31,2.42,66.7,0,0,0
DF,27,5,133,0,0,0,0,0,0,0,0,0,0,42,59.3,677.3,233.3,24,27.3,12.7,18,4.67,10.7,0.67,1.33,1.33,2.67,2,2.67,59.3,0,0.67,0,0,0,0,0,1.33,0,66.7,0,0,0
FW,23,11,878,1.02,5.1,2.35,46,0.2,0.43,14.3,0,0,0.1,30.3,36.6,431.7,90.8,17.4,19.9,10.7,12.9,1.33,1.94,0.2,2.14,1.22,2.04,0.31,3.16,36.6,0.1,0.61,0.31,0.1,0.1,0,0,0.41,12.9,34.4,0,0,0
DF,24,2,180,0,0.5,0,0,0,0,7.3,0,0,0,22.5,30,525.5,112,5.5,6.5,10.5,13,6.5,9.5,0,0,1.5,0,0,1.5,30,0.5,0.5,0,0,0,0,0,0.5,0.5,50,0,0,0
DF,28,12,1035,0.09,0.87,0.35,40,0.1,0.25,12.4,0,0,0,45.6,53.4,902.6,303.4,15.5,16.9,23.8,26.3,5.83,9.13,0,0.09,3.57,0.43,0.09,3.74,53.4,0,0.78,0,0,0,0,0,1.65,1.65,60,0,0,0
FW,23,12,885,0.2,2.35,1.02,43.5,0.09,0.2,17.4,0,0,0,17.7,26.7,310.3,93,8.37,10.6,6.63,9.39,2.24,4.49,0,1.12,1.02,1.12,0.41,1.73,26.7,0.1,0.82,0.1,0,0,0,0,0.51,4.39,58.8,0,0,0
MFDF,20,5,56,0,1.67,0,0,0,0,0,0,0,0,30,33.3,458.3,111.7,6.67,6.67,20,21.7,0,1.67,0,0,1.67,0,0,1.67,33.3,0,0,0,0,0,0,0,3.33,0,100,0,0,0
MF,28,12,923,0,1.75,0.39,22.2,0,0,22.8,0,0,0,32.6,41.3,672.3,254.3,13.1,14.4,13.3,15.4,5.44,9.81,0,0.58,5.44,1.07,0.49,5.15,41.3,0.19,0.58,0,0,0.1,0,0,3.5,0.97,50,0,0,0
DF,25,12,1080,0,0.17,0,0,0,0,6.5,0,0,0,32.4,40.5,735.7,231.2,7.58,8.83,17.8,21.4,6.67,9.67,0,0.33,2,0.17,0,1.58,40.5,0.17,0.5,0,0,0,0,0,0.83,0.83,75,0,0.08,0
MF,24,10,671,0.13,1.07,0.67,62.5,0.13,0.2,8.5,0,0,0,24.5,29.6,407.3,115.6,12,13.6,9.33,11.5,2.4,3.2,0.13,0.93,1.47,0.4,0.4,2.93,29.6,0,1.33,0,0,0,0,0,1.6,2.53,60,0,0,0
FWDF,22,12,575,0.31,1.41,0.47,33.3,0.22,0.67,15.7,0,0,0,25.3,35.3,440.2,132,12.7,15.5,8.44,11.1,3.59,6.56,0,1.25,1.88,1.41,0.47,2.97,35.3,0,1.09,0.16,0,0,0,0,3.44,2.5,59.1,0,0,0
MF,25,10,574,0,0.63,0.16,25,0,0,13,0,0,0,29.2,35.5,506.6,132.8,13.4,16.7,11.9,13,2.97,4.38,0,0.16,1.88,0.16,0,1.88,35.5,0,0.94,0,0.16,0,0,0,2.66,1.72,80,0,0.16,0
DFMF,35,11,862,0,0,0,0,0,0,0,0,0,0,46.3,52.3,1003.3,323.6,14.5,15.8,22.4,23.4,9.06,12.4,0.1,0.21,1.46,0.1,0,1.88,52.3,0,0.63,0,0,0.1,0,0,1.25,0,100,0,0,0
DF,23,12,1080,0,0.5,0.08,16.7,0,0,12,0,0,0,73.5,81.6,1356.7,501.3,32.3,34,30.8,33.1,9.08,12.3,0.08,0.5,4.75,0.58,0.25,5.83,81.6,0,0.83,0,0.08,0,0,0,0.67,0.67,55.6,0,0,0
DF,33,11,938,0.1,0.77,0.1,12.5,0.13,1,7.6,0,0,0,37.4,48.5,824.2,252.2,11.8,13.7,18.6,21.7,6.83,11.9,0,0,2.21,0.38,0.19,1.63,48.5,0.29,1.35,0,0,0,0,0,1.54,1.44,100,0,0,0
MF,28,5,313,0,1.14,0,0,0,0,19.6,0,0,0,22.3,28.6,392.9,75.1,9.14,10.9,10.6,12.3,2,4.29,0,0.29,2,0.29,0,0.86,28.6,0,0.57,0,0,0,0,0,2,0.86,50,0,0,0
FW,25,2,16,0,0,0,0,0,0,0,0,0,0,40,40,770,100,10,10,25,25,5,5,0,0,5,0,0,0,40,0,0,0,0,0,0,0,0,10,100,0,0,0
MF,28,5,302,0.29,0.88,0.59,66.7,0.33,0.5,13.1,0,0,0,29.1,32.6,534.1,107.6,10.6,12.9,14.1,14.7,2.94,3.24,0.59,1.18,3.24,0.59,0,2.35,32.6,0.29,0.29,0,0.29,0,0,0,2.06,1.76,75,0,0,0
